freq,age,statinfo,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,TOTAL,GINI_HND,AL	: 	36.8 	35.4 	34.3 	33.2 	33.0 	31.0 	30.2 	: 	: 
A,TOTAL,GINI_HND,AT	27.2 	27.9 	26.8 	27.5 	27.0 	26.7 	27.8 	28.1 	28.4 	: 
A,TOTAL,GINI_HND,BE	26.3 	26.1 	25.7 	25.1 b	25.3 	24.1 	24.7 	24.3 	24.6 	23.4 
A,TOTAL,GINI_HND,BG	37.7 b	40.2 	39.6 	40.8 	40.0 	39.7 	38.4 	37.2 	38.4 	37.7 
A,TOTAL,GINI_HND,CH	29.4 	30.1 	29.7 	30.6 	31.2 	31.4 	31.0 	31.5 	31.0 	: 
A,TOTAL,GINI_HND,CY	32.1 	30.8 	29.1 	31.5 	29.3 	29.3 	29.0 	29.3 	30.1 	: 
A,TOTAL,GINI_HND,CZ	25.1 	24.5 	24.0 	24.0 	24.2 	24.8 	24.8 	24.4 	23.7 	24.0 
A,TOTAL,GINI_HND,DE	29.5 	29.1 	31.1 	29.7 	30.5 b	31.2 	29.0 	29.4 	29.5 	30.1 
A,TOTAL,GINI_HND,DK	27.7 	27.6 	27.8 	27.5 	27.3 b	27.0 	27.7 	28.2 	28.6 	: 
A,TOTAL,GINI_HND,EA20	30.7 	30.4 	30.6 	30.2 	30.2 b	30.6 	29.9 	29.8 	29.9 	: 
A,TOTAL,GINI_HND,EE	32.7 	31.6 	30.6 	30.5 	30.5 	30.6 	31.9 	31.8 	30.8 	30.9 
A,TOTAL,GINI_HND,EL	34.3 	33.4 	32.3 	31.0 	31.4 	32.4 	31.4 	31.8 	31.8 	: 
A,TOTAL,GINI_HND,ES	34.5 	34.1 	33.2 	33.0 	32.1 	33.0 	32.0 	31.5 	31.2 	30.8 
A,TOTAL,GINI_HND,EU27_2020	30.6 	30.3 	30.4 	30.1 	30.0 b	30.2 	29.6 	29.6 	29.4 	: 
A,TOTAL,GINI_HND,FI	25.4 	25.3 	25.9 	26.2 	26.5 	25.7 	26.6 	26.6 	26.1 	27.1 
A,TOTAL,GINI_HND,FR	29.3 	28.8 	28.5 	29.2 	29.2 b	29.3 	29.8 b	29.7 	30.0 	: 
A,TOTAL,GINI_HND,HR	29.8 	29.9 	29.7 	29.2 	28.3 	29.2 	28.5 	29.7 b	29.8 b	: 
A,TOTAL,GINI_HND,HU	28.2 	28.1 	28.7 	26.8 b	28.2 	27.4 	26.9 	28.6 	28.0 	: 
A,TOTAL,GINI_HND,IE	29.6 	30.6 	28.9 	28.0 b	27.6 b	26.6 	26.9 	27.4 	26.4 	: 
A,TOTAL,GINI_HND,IS	24.1 	25.2 	23.2 	23.7 	24.0 	: 	: 	: 	: 	: 
A,TOTAL,GINI_HND,IT	33.1 	32.7 	33.4 	32.8 	32.5 	32.9 	32.7 	31.5 	32.2 	31.0 
A,TOTAL,GINI_HND,LT	37.0 	37.6 	36.9 	35.4 	35.1 	35.4 	36.2 	35.7 	35.3 p	: 
A,TOTAL,GINI_HND,LU	29.6 b	29.2 	31.3 	32.3 	31.2 b	29.6 b	29.1 b	30.6 	30.1 	: 
A,TOTAL,GINI_HND,LV	34.5 	34.5 	35.6 	35.2 	34.5 	35.7 	34.3 	34.0 	34.2 	35.6 
A,TOTAL,GINI_HND,ME	36.5 	36.7 	34.7 	34.1 	32.9 	32.5 	31.5 	: 	: 	: 
A,TOTAL,GINI_HND,MK	33.6 	32.4 	31.9 	30.7 	31.4 	30.3 b	29.8 	30.3 	: 	: 
A,TOTAL,GINI_HND,MT	28.6 	28.2 	28.7 	28.0 	30.3 	31.2 	31.1 	33.0 	30.8 	: 
A,TOTAL,GINI_HND,NL	26.9 b	27.1 	27.4 	26.8 	28.2 	26.4 	26.3 	26.5 	25.9 	25.9 
A,TOTAL,GINI_HND,NO	25.0 	26.1 	24.8 	25.4 	25.3 	25.9 b	27.5 	24.7 b	24.4 	: 
A,TOTAL,GINI_HND,PL	29.8 	29.2 	27.8 	28.5 	27.2 	26.8 	26.3 	27.0 	26.0 	: 
A,TOTAL,GINI_HND,PT	33.9 	33.5 	32.1 	31.9 	31.2 	33.0 	32.0 	33.7 	31.9 	30.9 
A,TOTAL,GINI_HND,RO	34.7 	33.1 	35.1 	34.8 	33.8 	34.3 	32.0 	31.0 	28.0 	27.3 
A,TOTAL,GINI_HND,RS	39.8 	37.8 	35.6 	33.6 	33.8 	33.3 	32.6 	31.7 	31.9 	: 
A,TOTAL,GINI_HND,SE	27.6 	28.0 	27.0 	27.6 	26.9 	26.8 	27.6 	29.5 	27.6 	28.6 
A,TOTAL,GINI_HND,SI	24.4 	23.7 	23.4 	23.9 	23.5 	23.0 	23.1 	23.4 	23.8 	24.6 
A,TOTAL,GINI_HND,SK	24.3 	23.2 	20.9 	22.8 	20.9 	21.8 	21.2 	21.6 	21.7 	: 
A,TOTAL,GINI_HND,TR	42.6 	43.0 	43.0 	41.7 	43.4 	42.5 	45.3 	44.2 	44.8 	43.9 
A,TOTAL,GINI_HND,UK	31.5 	33.1 b	33.5 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GINI_HND,XK	: 	: 	46.6 	: 	: 	: 	: 	: 	: 	: 
A,Y_LT18,GINI_HND,AL	: 	37.0 	36.2 	34.7 	33.8 	33.6 	31.4 	30.0 	: 	: 
A,Y_LT18,GINI_HND,AT	25.9 	27.3 	25.5 	24.4 	25.5 	26.6 	27.5 	27.8 	27.7 	: 
A,Y_LT18,GINI_HND,BE	25.0 	25.5 	24.8 	23.1 b	23.2 	23.0 	22.6 	21.6 	21.8 	20.6 
A,Y_LT18,GINI_HND,BG	40.2 b	42.5 	41.8 	43.4 	41.9 	41.4 	41.0 	38.4 	39.6 	41.4 
A,Y_LT18,GINI_HND,CH	28.8 	29.5 	29.0 	30.7 	30.6 	30.5 	31.1 	31.9 	30.9 	: 
A,Y_LT18,GINI_HND,CY	29.9 	28.6 	27.9 	31.9 	29.9 	28.4 	29.1 	26.9 	29.9 	: 
A,Y_LT18,GINI_HND,CZ	26.8 	25.3 	23.6 	23.0 	23.6 	24.5 	24.8 	24.7 	24.1 	24.1 
A,Y_LT18,GINI_HND,DE	26.8 	26.9 	31.2 	30.4 	28.9 b	30.4 	27.4 	28.2 	28.1 	29.3 
A,Y_LT18,GINI_HND,DK	26.9 	27.0 	24.0 	23.1 	25.3 b	24.9 	24.9 	23.5 	21.5 	: 
A,Y_LT18,GINI_HND,EA20	29.6 	29.7 	30.1 	29.5 	29.7 b	30.3 	29.7 	29.4 	29.3 	: 
A,Y_LT18,GINI_HND,EE	32.0 	30.1 	28.8 	29.4 	28.8 	29.3 	28.6 	29.5 	28.5 	29.8 
A,Y_LT18,GINI_HND,EL	36.4 	34.5 	33.0 	31.2 	32.1 	33.3 	32.0 	32.1 	31.6 	: 
A,Y_LT18,GINI_HND,ES	37.0 	36.6 	34.5 	34.9 	33.6 	35.2 	34.0 	34.0 	33.4 	33.1 
A,Y_LT18,GINI_HND,EU27_2020	30.1 	29.9 	30.0 	29.5 	29.5 b	30.0 	29.3 	29.2 	28.7 	: 
A,Y_LT18,GINI_HND,FI	22.7 	22.8 	23.3 	24.1 	24.1 	23.2 	25.3 	24.2 	24.8 	25.6 
A,Y_LT18,GINI_HND,FR	26.8 	27.7 	27.4 	26.5 	29.4 b	29.6 	31.2 b	30.5 	30.4 	: 
A,Y_LT18,GINI_HND,HR	28.9 	29.8 	29.5 	28.7 	27.9 	29.3 	28.2 	28.8 b	29.6 b	: 
A,Y_LT18,GINI_HND,HU	28.8 	27.5 	29.5 	26.2 b	30.8 	25.9 	26.6 	29.5 	25.7 	: 
A,Y_LT18,GINI_HND,IE	28.6 	29.3 	26.0 	27.0 b	25.7 b	24.1 	25.0 	25.6 	23.3 	: 
A,Y_LT18,GINI_HND,IS	21.5 	23.3 	20.7 	23.1 	22.1 	: 	: 	: 	: 	: 
A,Y_LT18,GINI_HND,IT	33.0 	32.8 	32.8 	32.3 	31.9 	32.4 	32.5 	30.1 	31.1 	29.3 
A,Y_LT18,GINI_HND,LT	37.2 	37.1 	37.7 	35.0 	35.2 	34.0 	35.0 	32.5 	33.7 p	: 
A,Y_LT18,GINI_HND,LU	28.7 b	28.6 	29.7 	33.2 	30.9 b	29.9 b	30.0 b	29.1 	30.4 	: 
A,Y_LT18,GINI_HND,LV	33.1 	33.2 	33.8 	32.0 	32.7 	32.3 	30.8 	31.0 	31.2 	31.5 
A,Y_LT18,GINI_HND,ME	38.1 	39.9 	35.8 	35.3 	34.5 	33.5 	33.1 	: 	: 	: 
A,Y_LT18,GINI_HND,MK	34.6 	34.5 	32.4 	31.0 	32.4 	31.6 b	31.7 	31.5 	: 	: 
A,Y_LT18,GINI_HND,MT	28.5 	28.0 	29.7 	27.9 	31.8 	32.8 	32.6 	33.7 	31.8 	: 
A,Y_LT18,GINI_HND,NL	26.1 b	26.1 	26.4 	25.6 	28.4 	26.6 	24.7 	25.5 	24.8 	23.1 
A,Y_LT18,GINI_HND,NO	22.1 	22.4 	22.1 	22.5 	22.3 	23.4 b	25.3 	21.7 b	22.2 	: 
A,Y_LT18,GINI_HND,PL	31.3 	28.9 	26.6 	27.8 	26.4 	26.2 	25.8 	26.2 	25.0 	: 
A,Y_LT18,GINI_HND,PT	33.0 	32.2 	31.3 	31.3 	31.4 	33.2 	30.5 	32.7 	29.9 	29.2 
A,Y_LT18,GINI_HND,RO	38.9 	36.8 	38.8 	38.0 	36.1 	37.1 	33.5 	34.7 	30.3 	28.8 
A,Y_LT18,GINI_HND,RS	40.0 	39.4 	37.6 	33.3 	34.1 	31.7 	30.9 	31.1 	33.4 	: 
A,Y_LT18,GINI_HND,SE	26.2 	27.9 	25.0 	25.6 	24.6 	25.3 	25.6 	27.0 	25.6 	25.5 
A,Y_LT18,GINI_HND,SI	23.6 	22.7 	22.1 	22.9 	22.1 	21.1 	20.6 	20.7 	21.5 	22.6 
A,Y_LT18,GINI_HND,SK	25.2 	25.1 	22.1 	23.7 	20.8 	22.3 	22.8 	23.8 	23.6 	: 
A,Y_LT18,GINI_HND,TR	43.4 	44.4 	44.5 	42.9 	44.7 	44.3 	46.4 	46.2 	46.4 	45.6 
A,Y_LT18,GINI_HND,UK	29.5 	32.6 b	34.0 	: 	: 	: 	: 	: 	: 	: 
A,Y_LT18,GINI_HND,XK	: 	: 	46.8 	: 	: 	: 	: 	: 	: 	: 
