freq,indic_ppp,ppp_cat18,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,VI_PPS_EU27_2020_HAB,GDP,AL	29 	30 	30 	30 	30 	30 	30 	30 	31 	33 	38 	42 p
A,VI_PPS_EU27_2020_HAB,GDP,AT	131 	129 	128 	128 	125 	126 	124 	123 	121 	123 	121 	119 
A,VI_PPS_EU27_2020_HAB,GDP,BA	30 	30 	31 	31 	31 	32 	32 	33 	33 	34 	35 	35 
A,VI_PPS_EU27_2020_HAB,GDP,BE	121 	121 	119 	118 	117 	116 	117 	118 	117 	118 	118 	117 p
A,VI_PPS_EU27_2020_HAB,GDP,BG	46 	48 	49 	51 	52 	53 	55 	57 	60 	62 	63 	66 
A,VI_PPS_EU27_2020_HAB,GDP,CH	173 	173 	172 	167 	161 	160 	155 	156 	161 	161 	154 p	151 p
A,VI_PPS_EU27_2020_HAB,GDP,CY	84 	80 	81 	86 	88 	89 	91 	89 	92 	95 	97 	99 p
A,VI_PPS_EU27_2020_HAB,GDP,CZ	85 	88 	89 	89 	92 	93 	95 	96 	92 	90 	91 	91 
A,VI_PPS_EU27_2020_HAB,GDP,DE	126 	128 	126 	126 	126 	125 	122 	123 	120 	120 p	118 p	116 p
A,VI_PPS_EU27_2020_HAB,GDP,DK	129 	128 	127 	126 	128 	127 	125 	132 	133 	134 	126 	127 
A,VI_PPS_EU27_2020_HAB,GDP,EA19	108 	108 	108 	107 	107 	107 	106 	105 	105 	105 	105 	105 
A,VI_PPS_EU27_2020_HAB,GDP,EA20	108 	107 	107 	107 	106 	106 	105 	104 	104 	105 	105 	104 
A,VI_PPS_EU27_2020_HAB,GDP,EE	76 	78 	77 	78 	80 	82 	84 	85 	85 	83 	80 	79 
A,VI_PPS_EU27_2020_HAB,GDP,EL	71 	71 	69 	67 	67 	66 	66 	62 	64 	66 	68 p	69 p
A,VI_PPS_EU27_2020_HAB,GDP,ES	90 	90 	91 	92 	93 	91 	91 	83 	85 	88 	91 p	91 p
A,VI_PPS_EU27_2020_HAB,GDP,EU27_2020	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
A,VI_PPS_EU27_2020_HAB,GDP,FI	114 	111 	109 	109 	110 	109 	107 	112 	109 	106 	103 	102 
A,VI_PPS_EU27_2020_HAB,GDP,FR	109 	108 	106 	105 	103 	103 	105 	104 	101 	97 	99 p	98 p
A,VI_PPS_EU27_2020_HAB,GDP,HR	61 	60 	61 	62 	63 	64 	67 	66 	70 	72 	78 	78 p
A,VI_PPS_EU27_2020_HAB,GDP,HU	68 	69 	70 	69 	69 	72 	73 	75 	75 	76 	76 	76 p
A,VI_PPS_EU27_2020_HAB,GDP,IE	134 	141 	185 	178 	187 	192 	190 	205 	225 	237 	218 	221 
A,VI_PPS_EU27_2020_HAB,GDP,IS	125 	126 	131 	135 	133 	131 	129 	123 	124 	135 	136 	131 
A,VI_PPS_EU27_2020_HAB,GDP,IT	100 	98 	97 	99 	98 	97 	96 	93 	96 	98 	98 	98 
A,VI_PPS_EU27_2020_HAB,GDP,JP	108 	106 	106 	99 	96 	94 	88 	89 	85 	81 	83 	82 e
A,VI_PPS_EU27_2020_HAB,GDP,LT	73 	75 	75 	75 	78 	81 	83 	87 	88 	87 	86 	87 
A,VI_PPS_EU27_2020_HAB,GDP,LU	277 	280 	279 	276 	266 	258 	249 	256 	263 	250 	248 	245 
A,VI_PPS_EU27_2020_HAB,GDP,LV	60 	61 	62 	63 	64 	66 	66 	69 	71 	69 	70 	68 
A,VI_PPS_EU27_2020_HAB,GDP,ME	40 	41 	42 	44 	45 	47 	49 	44 	46 	48 	52 	53 
A,VI_PPS_EU27_2020_HAB,GDP,MK	38 	39 	39 	40 	40 	41 	42 	42 	43 	41 	41 	42 p
A,VI_PPS_EU27_2020_HAB,GDP,MT	91 	94 	99 	100 	106 	107 	106 	105 	109 	103 	109 	110 
A,VI_PPS_EU27_2020_HAB,GDP,NL	136 	133 	132 	130 	130 	130 	128 	131 	132 	134 	131 	134 
A,VI_PPS_EU27_2020_HAB,GDP,NO	185 	177 	157 	145 	150 	156 	146 	141 	171 	214 	169 	160 
A,VI_PPS_EU27_2020_HAB,GDP,PL	67 	68 	70 	69 	70 	72 	74 	79 	79 	78 	77 	78 
A,VI_PPS_EU27_2020_HAB,GDP,PT	77 	77 	76 	77 	76 	77 	77 	75 	74 	77 	81 	82 p
A,VI_PPS_EU27_2020_HAB,GDP,RO	54 	55 	56 	58 	62 	65 	69 	72 	72 	72 	75 	77 p
A,VI_PPS_EU27_2020_HAB,GDP,RS	42 	41 	40 	40 	40 	41 	42 	44 	45 	45 	48 	52 p
A,VI_PPS_EU27_2020_HAB,GDP,SE	127 	125 	126 	123 	119 	117 	117 	120 	120 	113 	111 	111 
A,VI_PPS_EU27_2020_HAB,GDP,SI	82 	82 	81 	82 	84 	86 	87 	88 	88 	89 	91 	90 
A,VI_PPS_EU27_2020_HAB,GDP,SK	77 	78 	78 	73 	70 	70 	70 	74 	74 	71 	74 	75 
A,VI_PPS_EU27_2020_HAB,GDP,TR	62 	65 	67 	65 	66 	64 	60 	61 	62 	68 	70 	72 
A,VI_PPS_EU27_2020_HAB,GDP,UK	110 	111 	111 	108 	108 	106 	104 	102 	100 	103 	99 	99 
A,VI_PPS_EU27_2020_HAB,GDP,US	146 	147 	147 	141 	139 	139 	134 	135 	137 	133 	134 	135 e
