freq,currency,geo\TIME_PERIOD	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 	2025-S2 	2026-S1 
S,EUR,AL	245 	248 	269 	298 	376 	385 	399 	408 	408 	517 
S,EUR,AT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,BE	1626 	1658 	1842 	1955 	1955 	1994 	2070 	2070 	2112 	2112 
S,EUR,BG	332 	332 	363 	399 	399 	477 	477 	551 	551 	620 
S,EUR,CH	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,CY	: m	: m	: m	940 	940 	1000 	1000 	1000 	1000 	1088 
S,EUR,CZ	596 	652 	655 	717 	729 	764 	755 	826 	841 	924 
S,EUR,DE	1602 	1634 	1739 	1997 	1997 	2054 	2054 	2161 	2161 	2343 
S,EUR,DK	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,EE	584 	654 	654 	725 	725 	820 	820 	886 	886 	886 
S,EUR,EL	758 	774 	832 	832 	910 	910 	968 	968 	1027 	1027 
S,EUR,ES	1108 	1126 	1167 	1167 	1260 	1323 	1323 	1381 	1381 	1381 
S,EUR,FI	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,FR	1555 	1603 	1646 	1709 	1747 	1767 	1767 	1802 	1802 	1823 
S,EUR,HR	567 	624 	622 	700 	700 	840 	840 	970 	970 	1050 
S,EUR,HU	476 	542 	504 	579 	624 	697 	675 	707 	727 	838 
S,EUR,IE	1724 	1775 	1775 	1910 	1910 	2146 	2146 	2282 	2282 	2391 
S,EUR,IS	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,IT	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,LT	642 	730 	730 	840 	840 	924 	924 	1038 	1038 	1153 
S,EUR,LU	2202 	2257 	2313 	2387 	2508 	2571 	2571 	2638 	2704 	2704 
S,EUR,LV	500 	500 	500 	620 	620 	700 	700 	740 	740 	780 
S,EUR,MD	47 	50 	50 	196 	200 	258 	261 	285 	279 	319 
S,EUR,ME	331 	533 	533 	533 	533 	533 	533 	670 	670 	670 
S,EUR,MK	359 	359 	428 	430 	483 	484 	542 	542 	584 	586 
S,EUR,MT	785 	792 	792 	835 	835 	925 	925 	961 	961 	994 
S,EUR,NL	1701 	1725 	1756 	1934 	1995 	2070 	2134 	2193 	2246 	2295 
S,EUR,NO	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,PL	619 	655 	642 	746 	811 	978 	998 	1091 	1100 	1139 
S,EUR,PT	776 	823 	823 	887 	887 	957 	957 	1015 	1015 	1073 
S,EUR,RO	467 	515 	516 	606 	604 	663 	743 	814 	797 	795 
S,EUR,RS	366 	401 	402 	460 	461 	544 	544 	619 	618 	744 
S,EUR,SE	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
S,EUR,SI	1024 	1074 	1074 	1203 	1203 	1254 	1254 	1278 	1278 	1278 
S,EUR,SK	623 	646 	646 	700 	700 	750 	750 	816 	816 	915 
S,EUR,TR	347 	328 	374 	501 	474 	613 	568 	708 	558 	654 
S,EUR,UA	186 	210 	211 	172 	168 	168 	185 	182 	164 	173 
S,EUR,US	1057 	1110 	1210 	1178 	1157 	1137 	1174 	1210 	1072 	1070 
